Категория 1,Категория 2,Категория 3,Синонимы (ключевые слова-триггеры),Строк,Кат4 — что это,Категория 4 (значения),Кат5 — что это,Категория 5 — конкретные стандарты / значения
Крепежные изделия,Гайка,Нержавеющий,"гайк, nut   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",8887,Стандарт — семейство,ASME; DIN,Конкретный стандарт,ASME B18.2.2; ASME B18.2.4.6; ASME B18.2.4.1; DIN 934; DIN 985; DIN 431; DIN 2510; ASME B18.31.1
Крепежные изделия,Гайка,Черный,"гайк, nut   •   металл: уровень «1_Черный» / по умолчанию",4544,Стандарт — семейство,ASME; DIN; EN; JIS; ASTM,Конкретный стандарт,ASME B18.2.2; ASME B18.2.4.1; DIN 934; DIN 985; DIN 936; DIN 1624; EN 10269; DIN 439; DIN 1587; DIN 2510; ASME B18.2.4.6; JIS B1181; EN 14399-4; ASTM A194; DIN 6334
Крепежные изделия,Шпилька,Нержавеющий,"шпильк, stud   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",5707,Стандарт — семейство,ASME; DIN,Конкретный стандарт,ASME B18.31.2; ASME B18.31.1; DIN 976; DIN 975; ASME B 18.31.1; По чертежу
Крепежные изделия,Шпилька,Черный,"шпильк, stud   •   металл: уровень «1_Черный» / по умолчанию",2273,Стандарт — семейство,ASME; DIN; EN; ASTM,Конкретный стандарт,ASME B18.31.2; ASME B18.31.1; По чертежу; DIN 976; DIN 975; DIN 938; EN 10269; ASME B18.31; ASTM A193
Крепежные изделия,Шайба,Нержавеющий,"шайб, washer   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",399,Стандарт — семейство,ASME; DIN,Конкретный стандарт,ASME B18.21.1; DIN 25201; DIN 125; DIN 9021; ASME B18.22; DIN 7349; DIN 436; DIN 6796
Крепежные изделия,Шайба,Черный,"шайб, washer   •   металл: уровень «1_Черный» / по умолчанию",57,Стандарт — семейство,DIN; ASME; JIS,Конкретный стандарт,DIN 125; DIN 127; DIN 9021; ASME B18.21.1; DIN 7349; DIN 967; JIS B 1256; DIN 6796; DIN 435
Крепежные изделия,Комплекты,Черный,≥2 разных вида в «Номенклатуре»: шпилька + болт + гайка + шайба   •   металл: уровень «1_Черный» / по умолчанию,358,Стандарт — семейство,ASME; ASTM / ASME; DIN,Конкретный стандарт,ASME B18.31.2; ASTM A193; ASTM A453; По чертежу; ASME B18.31.1; ASTM A194; ASTM A320; DIN 2510
Крепежные изделия,Комплекты,Нержавеющий,"≥2 разных вида в «Номенклатуре»: шпилька + болт + гайка + шайба   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",97,Стандарт — семейство,ASME; ASTM; DIN; ASTM / ASME,Конкретный стандарт,ASME B18.31.2; ASTM F593; DIN 2510; ASTM A453
Крепежные изделия,Болт,Черный,"болт, bolt, u-bolt, ubolt, u-образ, у-образ   •   металл: уровень «1_Черный» / по умолчанию",102,Стандарт — семейство,DIN; ASME; ASTM,Конкретный стандарт,DIN 933; DIN 931; DIN 580; По чертежу; ASME B18.2.3.5; ASME B18.2.2; ASME B18.2.3.1; DIN 609; ASTM A320; ASME B18.15; ASTM A193; DIN 444; DIN 3570
Крепежные изделия,Болт,Нержавеющий,"болт, bolt, u-bolt, ubolt, u-образ, у-образ   •   металл: нерж/нержав/AISI/inox, 1.4xxx, 304/316/321…, ASTM A182/A213/A240… ИЛИ уровень «2_Нержавейка»",36,Стандарт — семейство,DIN; ASME; ASTM,Конкретный стандарт,DIN 933; ASME B18.2.1; DIN 603; ASME B18.2.3.5; ASTM F593; DIN 931; DIN 444
